from,to
54,130
71,130
94,130
74,130
78,130
59,130
89,130
33,130
72,130
52,130
34,130
34,128
52,128
72,128
33,128
85,128
75,128
127,128
117,128
96,128
137,128
78,128
59,128
51,128
107,128
87,128
94,178
52,178
34,178
72,178
96,178
95,178
135,178
85,178
75,178
89,178
80,131
72,131
33,131
34,131
77,131
87,131
59,131
75,131
114,131
88,102
89,102
78,102
52,102
34,102
34,102
72,102
54,102
94,102
96,102
98,102
95,102
24,102
84,102
75,102
85,102
20,227
228,227
59,129
72,129
1,85
70,85
61,85
104,85
82,85
80,85
54,85
54,85
3,85
111,85
135,85
117,85
156,85
77,85
77,85
226,85
98,85
96,85
95,85
128,85
130,85
102,85
86,85
198,85
178,85
116,85
75,85
113,85
84,85
110,85
18,85
132,85
58,85
101,85
27,85
99,85
24,85
68,85
68,85
20,85
65,85
90,85
92,85
120,85
89,85
195,85
59,85
229,85
50,85
100,85
88,85
87,85
78,85
160,85
34,85
52,85
34,85
33,85
79,85
72,85
74,85
63,85
93,85
94,85
106,85
69,85
82,101
54,101
70,101
61,101
75,101
84,101
85,101
72,101
52,101
34,101
34,101
98,101
96,101
95,101
77,101
77,101
78,101
88,101
89,101
94,101
106,101
20,101
68,101
24,101
20,17
53,17
230,17
0,57
134,57
61,57
1,57
33,57
34,57
72,57
59,57
142,57
142,57
86,57
113,57
132,57
58,57
65,57
20,57
24,57
64,57
59,119
72,67
52,67
34,67
35,67
33,67
92,67
68,67
128,67
103,67
98,67
115,67
50,67
59,67
51,67
89,67
87,67
70,67
80,67
20,238
72,99
52,99
34,99
34,99
75,99
15,99
86,99
85,99
95,68
96,68
98,68
95,68
96,68
98,68
77,68
77,68
77,68
77,68
60,68
117,68
0,68
63,68
94,68
106,68
69,68
64,68
106,68
59,68
89,68
59,68
89,68
40,68
88,68
88,68
87,68
87,68
41,68
78,68
78,68
86,68
86,68
178,68
14,68
75,68
14,68
75,68
101,68
101,68
85,68
85,68
18,68
58,68
110,68
18,68
84,68
113,68
58,68
80,68
54,68
54,68
54,68
70,68
1,68
1,68
61,68
61,68
82,68
82,68
104,68
65,68
20,68
20,68
90,68
90,68
24,68
24,68
68,68
68,68
33,68
33,68
72,68
72,68
34,68
34,68
34,68
34,68
52,68
52,68
95,175
72,175
52,192
162,73
52,73
61,28
1,28
8,28
112,28
5,28
62,28
54,28
94,28
64,28
106,28
24,28
65,28
20,28
0,28
98,28
88,28
144,28
59,28
59,28
115,28
58,28
84,28
113,28
86,28
75,28
35,28
34,28
34,28
33,28
33,28
72,28
80,66
166,66
72,66
33,66
33,66
34,66
59,66
41,66
127,66
20,157
52,157
34,157
72,157
185,157
44,157
86,157
50,174
51,174
29,174
33,174
34,172
72,172
105,172
75,172
72,173
20,26
42,26
59,26
17,26
64,25
1,25
208,25
2,25
53,25
47,25
20,25
11,25
231,220
61,24
70,24
1,24
62,24
80,24
54,24
68,24
68,24
28,24
20,24
19,24
65,24
90,24
92,24
232,24
77,24
0,24
60,24
134,24
98,24
95,24
96,24
78,24
59,24
89,24
53,24
88,24
40,24
41,24
43,24
147,24
106,24
64,24
29,24
118,24
94,24
63,24
14,24
102,24
75,24
86,24
84,24
18,24
113,24
58,24
85,24
101,24
57,24
33,24
33,24
72,24
34,24
52,24
35,24
52,24
34,24
77,27
98,27
86,27
75,27
84,27
58,27
85,27
174,27
33,27
33,27
52,27
34,27
72,27
80,27
61,27
94,27
59,27
59,27
51,27
53,27
43,27
41,65
87,65
142,65
43,65
40,65
88,65
160,65
78,65
115,65
48,65
59,65
141,65
89,65
33,65
33,65
35,65
34,65
34,65
52,65
72,65
84,65
58,65
18,65
113,65
57,65
85,65
86,65
75,65
64,65
106,65
233,65
147,65
94,65
63,65
234,65
77,65
60,65
0,65
97,65
95,65
98,65
96,65
1,65
61,65
55,65
104,65
62,65
54,65
80,65
207,65
56,65
